Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Arsenal-2020,1.3,0.55,11.65,4.15,5.45,9.25,1.45,0.15,2.604,3.906,3.25
Aston Villa-2020,1.833,0.722,15.167,5.944,6.722,11.0,1.611,0.056,3.695,3.927,4.666666666666667
Brighton-2020,1.158,0.526,12.0,3.368,5.316,12.0,1.421,0.158,4.079,3.768,3.3157894736842106
Burnley-2020,0.684,0.263,9.105,3.0,3.895,11.474,1.316,0.0,5.646,4.02,5.2631578947368425
Chelsea-2020,1.737,0.526,13.842,5.211,6.053,12.316,1.526,0.053,1.869,4.129,3.263157894736842
Crystal Palace-2020,1.2,0.65,9.35,3.4,4.25,10.9,1.25,0.1,4.753,3.799,4.85
Everton-2020,1.647,1.0,10.588,4.412,4.765,10.412,1.765,0.118,2.587,3.602,4.0588235294117645
Fulham-2020,0.833,0.5,11.611,3.833,3.944,12.611,2.056,0.167,5.859,4.185,5.388888888888889
Leeds-2020,1.684,0.789,14.474,5.105,5.947,9.895,1.474,0.0,3.444,3.928,5.631578947368421
Leicester-2020,1.842,0.737,11.632,4.211,5.158,9.684,2.0,0.0,2.753,3.78,4.105263157894737
Liverpool-2020,1.947,0.947,16.105,5.842,7.053,10.263,1.053,0.0,1.633,4.991,3.5789473684210527
Man City-2020,1.895,1.263,16.316,5.737,7.421,9.737,1.158,0.0,1.417,6.148,2.3157894736842106
Man United-2020,1.895,0.737,13.737,5.737,5.105,12.316,1.579,0.053,2.034,4.063,3.6842105263157894
Newcastle-2020,0.95,0.2,9.15,3.0,4.0,10.65,1.8,0.05,5.573,4.091,5.3
Sheffield United-2020,0.526,0.211,9.316,3.0,5.0,12.842,1.947,0.105,4.998,3.808,5.157894736842105
Southampton-2020,1.421,0.895,10.211,4.316,4.105,11.947,1.474,0.0,3.269,3.617,3.9473684210526314
Tottenham-2020,1.833,1.167,11.722,4.778,4.389,12.333,1.222,0.056,2.276,3.846,4.222222222222222
West Brom-2020,0.75,0.4,8.05,2.7,3.35,10.65,1.3,0.15,7.187,4.557,6.5
West Ham-2020,1.5,0.65,12.35,4.25,4.65,10.4,1.05,0.0,3.694,3.819,3.85
Wolves-2020,1.105,0.632,12.632,4.211,5.421,11.789,1.526,0.0,3.257,3.453,3.473684210526316
Arsenal-2021,1.65,0.95,14.5,5.25,5.05,9.0,1.5,0.1,3.069,4.016,4.45
Aston Villa-2021,1.316,0.421,11.316,3.474,5.105,9.737,2.105,0.053,4.335,3.884,4.473684210526316
Brentford-2021,1.211,0.526,11.158,4.0,4.0,11.053,1.895,0.053,4.446,3.72,4.368421052631579
Brighton-2021,1.053,0.474,12.421,4.053,5.368,10.053,2.053,0.053,3.557,3.583,4.2105263157894735
Burnley-2021,0.941,0.588,10.647,3.353,4.588,9.588,2.059,0.0,6.11,4.219,4.9411764705882355
Chelsea-2021,2.143,1.048,15.238,5.571,6.619,10.286,1.571,0.048,1.667,4.559,3.5238095238095237
Crystal Palace-2021,1.45,0.5,11.8,3.7,4.7,11.5,1.7,0.05,5.14,3.972,4.4
Everton-2021,1.278,0.278,12.222,4.056,3.833,9.222,2.0,0.056,4.562,3.913,4.722222222222222
Leeds-2021,1.105,0.474,13.842,4.368,4.579,11.895,2.737,0.053,4.233,4.012,5.526315789473684
Leicester-2021,1.722,0.778,11.556,4.833,4.833,9.167,1.389,0.056,3.671,3.95,5.222222222222222
Liverpool-2021,2.6,1.3,18.95,6.65,8.0,10.45,1.4,0.05,1.596,5.161,3.0
Man City-2021,2.524,1.286,18.714,6.857,8.524,8.762,1.429,0.048,1.407,6.411,2.3333333333333335
Man United-2021,1.667,0.556,13.944,5.0,5.444,10.556,2.111,0.111,2.109,4.316,4.833333333333333
Newcastle-2021,1.0,0.579,11.158,3.421,4.263,10.053,2.421,0.053,6.285,4.462,5.2105263157894735
Norwich-2021,0.421,0.263,10.211,3.0,4.684,9.368,1.789,0.105,6.883,4.407,5.526315789473684
Southampton-2021,1.053,0.684,12.421,3.947,5.737,12.053,1.947,0.105,4.565,3.963,4.7368421052631575
