Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
West Ham-2013,0.947,0.211,12.105,3.211,4.368,11.211,1.684,0.105,4.304,3.715,4.947368421052632
Arsenal-2014,1.789,0.632,16.789,5.684,7.737,10.684,2.263,0.105,2.079,3.999,3.473684210526316
Aston Villa-2014,0.579,0.474,9.895,2.842,3.526,10.474,2.158,0.211,5.004,3.74,4.526315789473684
Burnley-2014,0.737,0.368,11.368,2.895,4.0,10.263,1.737,0.0,5.547,3.899,5.105263157894737
Chelsea-2014,2.158,1.0,16.211,6.0,6.316,10.263,1.947,0.105,1.629,4.812,2.526315789473684
Crystal Palace-2014,1.053,0.421,10.632,3.632,5.789,13.579,1.421,0.158,5.169,3.871,4.052631578947368
Everton-2014,1.526,0.842,13.0,4.579,4.842,9.263,1.737,0.0,2.66,3.69,3.473684210526316
Hull-2014,0.947,0.368,9.947,2.842,3.789,11.368,1.895,0.211,4.978,3.807,4.315789473684211
Leicester-2014,0.895,0.474,11.105,3.368,5.421,13.053,1.526,0.158,4.443,3.719,4.7894736842105265
Liverpool-2014,1.368,0.474,15.421,5.0,5.368,9.789,1.789,0.053,2.163,3.932,3.789473684210526
Man City-2014,2.158,0.947,16.737,5.579,6.684,12.105,2.211,0.105,1.65,4.473,3.0526315789473686
Man United-2014,1.737,0.895,12.842,4.684,5.526,11.789,1.895,0.158,1.924,4.209,4.2105263157894735
Newcastle-2014,1.158,0.211,12.421,3.842,6.0,11.579,2.053,0.158,3.905,3.624,3.6315789473684212
QPR-2014,1.105,0.368,14.105,3.789,5.368,10.684,1.632,0.053,5.741,4.032,5.526315789473684
Southampton-2014,1.684,0.632,13.158,4.632,5.579,12.474,1.421,0.053,2.826,3.671,2.736842105263158
Stoke-2014,1.105,0.737,13.211,3.316,5.105,12.737,2.263,0.0,4.326,3.674,3.3157894736842106
Sunderland-2014,0.842,0.474,11.105,3.263,4.895,11.684,2.579,0.0,4.192,3.537,4.947368421052632
Swansea-2014,1.263,0.684,10.737,3.579,3.368,11.421,1.632,0.211,3.762,3.732,4.526315789473684
Tottenham-2014,1.263,0.684,13.158,4.158,6.211,12.421,2.0,0.158,2.809,3.735,4.421052631578948
West Brom-2014,0.947,0.368,12.158,3.474,5.579,11.316,1.579,0.053,4.365,3.703,4.473684210526316
West Ham-2014,1.579,0.684,13.579,4.316,6.842,11.842,1.842,0.053,3.68,3.646,4.578947368421052
Arsenal-2015,1.737,0.895,15.579,5.789,6.105,8.632,0.895,0.105,1.737,4.172,3.9473684210526314
Aston Villa-2015,0.789,0.263,10.737,3.263,4.789,12.105,2.053,0.0,4.863,3.744,4.947368421052632
Bournemouth-2015,1.158,0.579,12.526,4.263,6.368,9.947,1.526,0.0,4.155,3.746,4.0
Chelsea-2015,1.211,0.632,14.053,4.211,5.737,11.105,1.632,0.158,1.951,4.0,4.7368421052631575
Crystal Palace-2015,1.211,0.474,12.526,4.421,5.842,12.737,1.579,0.053,3.469,3.57,4.105263157894737
Everton-2015,1.842,0.895,13.368,4.684,6.053,8.737,1.474,0.105,3.007,3.577,4.947368421052632
Leicester-2015,1.947,0.684,13.316,4.947,4.421,10.895,1.684,0.0,3.05,3.486,4.315789473684211
Liverpool-2015,1.158,0.474,15.789,4.789,7.211,11.789,2.0,0.053,2.434,3.835,2.9473684210526314
Man City-2015,1.947,0.895,17.368,6.526,7.421,10.368,1.895,0.0,1.684,4.669,3.5789473684210527
Man United-2015,1.158,0.474,11.158,3.632,6.0,12.263,1.632,0.0,2.067,3.825,3.3684210526315788
Newcastle-2015,1.0,0.474,9.0,3.158,4.263,10.474,1.842,0.158,4.659,3.822,5.7368421052631575
Norwich-2015,1.158,0.526,11.316,3.684,5.105,11.105,1.632,0.105,4.312,3.73,4.684210526315789
Southampton-2015,1.368,0.579,14.737,4.789,5.842,10.316,1.789,0.105,2.689,3.529,3.6315789473684212
Stoke-2015,1.053,0.632,11.0,3.474,3.579,10.211,1.474,0.158,3.773,3.49,4.894736842105263
Sunderland-2015,1.0,0.316,10.737,3.368,3.947,10.895,1.895,0.105,6.017,4.039,6.157894736842105
Swansea-2015,0.842,0.421,11.789,3.684,3.842,9.789,1.632,0.0,3.771,3.588,3.9473684210526314
Tottenham-2015,1.737,1.0,15.158,6.368,5.737,13.0,2.158,0.0,2.503,3.708,3.263157894736842
Watford-2015,1.263,0.684,12.105,3.684,4.263,11.947,1.895,0.105,4.163,3.631,3.789473684210526
West Brom-2015,0.947,0.474,9.263,3.0,5.0,10.211,2.053,0.158,4.474,3.553,4.473684210526316
West Ham-2015,1.474,0.684,13.368,4.421,5.895,9.895,1.263,0.211,4.487,3.794,4.684210526315789
Arsenal-2016,2.158,1.0,15.263,5.105,5.316,10.105,1.579,0.053,1.836,4.376,3.5789473684210527
Bournemouth-2016,1.368,0.737,11.526,4.0,6.211,10.263,1.474,0.053,4.124,3.736,4.842105263157895
Burnley-2016,1.105,0.579,9.368,3.053,4.0,11.105,1.789,0.0,6.736,4.224,6.157894736842105
Chelsea-2016,2.211,0.895,15.474,5.632,5.158,10.211,2.211,0.0,1.826,4.265,2.5789473684210527
Crystal Palace-2016,1.526,0.474,12.368,4.158,5.474,12.789,2.263,0.0,4.086,3.669,5.0
Everton-2016,1.316,0.474,12.789,4.737,5.263,12.211,2.053,0.053,2.966,3.648,3.5789473684210527
Hull-2016,0.842,0.211,10.105,3.474,4.211,10.368,1.579,0.105,5.985,4.014,6.105263157894737
Leicester-2016,1.263,0.526,11.053,3.474,5.053,12.526,2.211,0.053,3.117,3.611,4.894736842105263
Liverpool-2016,2.421,1.263,17.421,6.105,6.368,10.474,1.421,0.0,1.86,4.544,3.0526315789473686
Man City-2016,2.053,0.895,16.474,5.632,7.316,10.684,1.895,0.158,1.725,4.75,3.0
Man United-2016,1.526,0.842,17.263,6.0,6.474,13.0,2.263,0.053,1.903,4.226,3.1578947368421053
Middlesbrough-2016,0.895,0.474,9.053,2.579,4.0,12.158,2.105,0.0,5.27,3.882,3.9473684210526314
Southampton-2016,1.0,0.421,14.684,4.789,5.211,11.211,1.684,0.105,3.028,3.655,2.789473684210526
Stoke-2016,1.158,0.579,11.263,3.632,5.0,10.0,1.842,0.053,4.718,3.891,5.0
Sunderland-2016,0.895,0.158,9.789,2.895,3.737,11.053,2.053,0.158,6.305,4.241,6.052631578947368
Swansea-2016,1.105,0.316,10.895,4.263,5.0,11.842,1.474,0.0,4.939,3.911,5.2105263157894735
Tottenham-2016,1.947,0.789,18.632,6.421,7.0,12.947,1.842,0.0,2.219,4.134,2.8947368421052633
Watford-2016,1.211,0.368,10.632,3.737,3.947,14.368,2.368,0.158,4.467,3.723,4.578947368421052
West Brom-2016,1.316,0.632,10.211,3.105,3.895,12.158,2.316,0.0,4.978,3.78,4.526315789473684
West Ham-2016,1.211,0.474,14.211,3.526,5.0,11.579,2.158,0.105,4.149,3.934,5.368421052631579
Arsenal-2017,1.789,0.632,17.684,6.316,6.526,10.947,1.421,0.0,2.21,4.61,3.4210526315789473
Bournemouth-2017,0.789,0.421,10.0,3.316,5.158,8.421,1.632,0.053,6.094,4.44,4.631578947368421
Brighton-2017,0.789,0.263,8.842,2.737,4.368,10.474,1.368,0.0,5.673,3.889,4.368421052631579
Burnley-2017,0.842,0.526,9.842,3.263,4.579,9.158,1.579,0.0,6.315,4.188,4.368421052631579
Chelsea-2017,1.684,0.842,15.632,5.737,6.158,10.158,1.105,0.158,1.823,4.456,2.6315789473684212
