placement,team,wins,draws,losses,points
13,Stoke-2016,11,11,16,44
14,Crystal Palace-2016,12,5,21,41
15,Swansea-2016,12,5,21,41
16,Burnley-2016,11,7,20,40
17,Watford-2016,11,7,20,40
18,Hull-2016,9,7,22,34
19,Middlesbrough-2016,5,13,20,28
20,Sunderland-2016,6,6,26,24
1,Man City-2017,32,4,2,100
2,Man United-2017,25,6,7,81
3,Tottenham-2017,23,8,7,77
4,Liverpool-2017,21,12,5,75
5,Chelsea-2017,21,7,10,70
6,Arsenal-2017,19,6,13,63
7,Burnley-2017,14,12,12,54
8,Everton-2017,13,10,15,49
9,Leicester-2017,12,11,15,47
10,Newcastle-2017,12,8,18,44
11,Crystal Palace-2017,11,11,16,44
12,Bournemouth-2017,11,11,16,44
13,West Ham-2017,10,12,16,42
14,Watford-2017,11,8,19,41
15,Brighton-2017,9,13,16,40
16,Huddersfield-2017,9,10,19,37
17,Southampton-2017,7,15,16,36
18,Swansea-2017,8,9,21,33
19,Stoke-2017,7,12,19,33
20,West Brom-2017,6,13,19,31
1,Man City-2018,32,2,4,98
2,Liverpool-2018,30,7,1,97
3,Chelsea-2018,21,9,8,72
4,Tottenham-2018,23,2,13,71
5,Arsenal-2018,21,7,10,70
6,Man United-2018,19,9,10,66
7,Wolves-2018,16,9,13,57
8,Everton-2018,15,9,14,54
9,Leicester-2018,15,7,16,52
10,West Ham-2018,15,7,16,52
11,Watford-2018,14,8,16,50
12,Crystal Palace-2018,14,7,17,49
13,Newcastle-2018,12,9,17,45
14,Bournemouth-2018,13,6,19,45
15,Burnley-2018,11,7,20,40
16,Southampton-2018,9,12,17,39
17,Brighton-2018,9,9,20,36
18,Cardiff-2018,10,4,24,34
19,Fulham-2018,7,5,26,26
20,Huddersfield-2018,3,7,28,16
1,Liverpool-2019,32,3,3,99
2,Man City-2019,26,3,9,81
3,Man United-2019,18,12,8,66
4,Chelsea-2019,20,6,12,66
5,Leicester-2019,18,8,12,62
6,Tottenham-2019,16,11,11,59
7,Wolves-2019,15,14,9,59
8,Arsenal-2019,14,14,10,56
9,Sheffield United-2019,14,12,12,54
10,Burnley-2019,15,9,14,54
11,Southampton-2019,15,7,16,52
12,Everton-2019,13,10,15,49
13,Newcastle-2019,11,11,16,44
14,Crystal Palace-2019,11,10,17,43
15,Brighton-2019,9,14,15,41
16,West Ham-2019,10,8,20,38
17,Aston Villa-2019,10,7,21,37
18,Bournemouth-2019,9,7,22,34
19,Watford-2019,8,10,20,34
20,Norwich-2019,5,6,27,21
1,Man City-2020,27,5,6,86
2,Man United-2020,21,11,6,74
3,Liverpool-2020,20,9,9,69
4,Chelsea-2020,19,10,9,67
5,Leicester-2020,20,6,12,66
6,West Ham-2020,19,8,11,65
7,Tottenham-2020,18,8,12,62
8,Arsenal-2020,18,7,13,61
9,Leeds-2020,18,5,15,59
10,Everton-2020,17,8,13,59
11,Aston Villa-2020,16,7,15,55
12,Newcastle-2020,12,9,17,45
13,Wolves-2020,12,9,17,45
14,Crystal Palace-2020,12,8,18,44
15,Southampton-2020,12,7,19,43
16,Brighton-2020,9,14,15,41
17,Burnley-2020,10,9,19,39
18,Fulham-2020,5,13,20,28
19,West Brom-2020,5,11,22,26
20,Sheffield United-2020,7,2,29,23
1,Man City-2021,29,6,3,93
2,Liverpool-2021,28,8,2,92
3,Chelsea-2021,21,11,6,74
4,Tottenham-2021,22,5,11,71
5,Arsenal-2021,22,3,13,69
6,Man United-2021,16,10,12,58
7,West Ham-2021,16,8,14,56
8,Leicester-2021,14,10,14,52
9,Brighton-2021,12,15,11,51
10,Wolves-2021,15,6,17,51
11,Newcastle-2021,13,10,15,49
12,Crystal Palace-2021,11,15,12,48
13,Brentford-2021,13,7,18,46
14,Aston Villa-2021,13,6,19,45
15,Southampton-2021,9,13,16,40
16,Everton-2021,11,6,21,39
17,Leeds-2021,9,11,18,38
18,Burnley-2021,7,14,17,35
19,Watford-2021,6,5,27,23
20,Norwich-2021,5,7,26,22
1,Man City-2022,28,5,5,89
2,Arsenal-2022,26,6,6,84
3,Man United-2022,23,6,9,75
4,Newcastle-2022,19,14,5,71
5,Liverpool-2022,19,10,9,67
6,Brighton-2022,18,8,12,62
7,Aston Villa-2022,18,7,13,61
8,Tottenham-2022,18,6,14,60
9,Brentford-2022,15,14,9,59
10,Fulham-2022,15,7,16,52
11,Crystal Palace-2022,11,12,15,45
12,Chelsea-2022,11,11,16,44
13,Wolves-2022,11,8,19,41
14,West Ham-2022,11,7,20,40
15,Bournemouth-2022,11,6,21,39
16,Nott'm Forest-2022,9,11,18,38
17,Everton-2022,8,12,18,36
18,Leicester-2022,9,7,22,34
19,Leeds-2022,7,10,21,31
20,Southampton-2022,6,7,25,25
